#TYPE System.Management.Automation.PSCustomObject
"Text";"Number";"Year";"Title";"DocType"
"I lov om almene boliger m.v., jf. lovbekendtgørelse nr. 884 af 10. august 2011, som ændret senest ved lov nr. 556 af 18. juni 2012, foretages følgende ændring:";"884";"2011";"lov om almene boliger m.v.";"lovbekendtgørelse"
"I lov om friplejeboliger, jf. lovbekendtgørelse nr. 897 af 17. august 2011, som ændret senest ved § 24 i lov nr. 326 af 11. april 2012, foretages følgende ændring:";"897";"2011";"lov om friplejeboliger";"lovbekendtgørelse"
"I lov om Statens Istjeneste, jf. lovbekendtgørelse nr. 578 af 29. september 1988, som ændret ved § 4 i lov nr. 901 af 29. november 1995, foretages følgende ændringer:";"578";"1988";"lov om Statens Istjeneste";"lovbekendtgørelse"
"I lov om fuldbyrdelse af straf m.v., jf. lovbekendtgørelse nr. 1162 af 5. oktober 2010, som ændret ved lov nr. 183 af 8. marts 2011, foretages følgende ændringer:";"1162";"2010";"lov om fuldbyrdelse af straf m.v.";"lovbekendtgørelse"
"I lov om retsafgifter, jf. lovbekendtgørelse nr. 936 af 8. september 2006, som ændret bl.a. ved § 2 i lov nr. 487 af 12. juni 2009 og senest ved lov nr. 614 af 14. juni 2011, foretages følgende ændringer:";"936";"2006";"lov om retsafgifter";"lovbekendtgørelse"
"I fiskeriloven, jf. lovbekendtgørelse nr. 978 af 26. september 2008, som ændret bl.a. ved lov nr. 388 af 2. maj 2012 og senest ved § 6 i lov nr. 446 af 23. maj 2012, foretages følgende ændringer:";"978";"2008";"fiskeriloven";"lovbekendtgørelse"
"I lov om miljøbeskyttelse, jf. lovbekendtgørelse nr. 879 af 26. juni 2010, som ændret bl.a. ved § 2 i lov nr. 484 af 11. maj 2010, lov nr. 653 af 15. juni 2010, § 6 i lov nr. 553 af 1. juni 2011, § 1 i lov nr. 1273 af 21. december 2011 og § 1 i lov nr. 446 af 23. maj 2012 og senest ved § 4 i lov nr. 580 af 18. juni 2012, foretages følgende ændringer:";"879";"2010";"lov om miljøbeskyttelse";"lovbekendtgørelse"
"I lov om betalingsregler for spilde­vands­for­sy­nings­sel­ska­ber m.v., jf. lovbekendtgørelse nr. 633 af 7. juni 2010, som ændret ved § 4 i lov nr. 1518 af 27. december 2009, foretages følgende ændring:";"633";"2010";"lov om betalingsregler for spilde­vands­for­sy­nings­sel­ska­ber m.v.";"lovbekendtgørelse"
"I lov om vurdering og styring af oversvømmelsesrisikoen fra vandløb og søer, jf. lovbekendtgørelse nr. 1505 af 27. december 2009, som ændret ved § 23 i lov nr. 484 af 11. maj 2010, § 12 i lov nr. 1273 af 21. december 2011 og § 14 i lov nr. 580 af 18. juni 2012, foretages følgende ændringer:";"1505";"2009";"lov om vurdering og styring af oversvømmelsesrisikoen fra vandløb og søer";"lovbekendtgørelse"
"I dagtilbudsloven, jf. lovbekendtgørelse nr. 668 af 17. juni 2011, som ændret ved § 1 i lov nr. 275 af 5. april 2011 og § 2 i lov nr. 558 af 18. juni 2012, foretages følgende ændring:";"668";"2011";"dagtilbudsloven";"lovbekendtgørelse"
"I selskabsloven, jf. lovbekendtgørelse nr. 322 af 11. april 2011, som ændret ved § 1 i lov nr. 477 af 30. maj 2012, foretages følgende ændringer:";"322";"2011";"selskabsloven";"lovbekendtgørelse"
"I lov om erhvervsdrivende fonde, jf. lovbekendtgørelse nr. 560 af 19. maj 2010, foretages følgende ændringer:";"560";"2010";"lov om erhvervsdrivende fonde";"lovbekendtgørelse"
"I lov om visse erhvervsdrivende virksomheder, jf. lovbekendtgørelse nr. 559 af 19. maj 2010, som ændret ved § 1 i lov nr. 616 af 14. juni 2011, foretages følgende ændringer:";"559";"2010";"lov om visse erhvervsdrivende virksomheder";"lovbekendtgørelse"
"I årsregnskabsloven, jf. lovbekendtgørelse nr. 323 af 11. april 2011, som ændret ved § 1 i lov nr. 516 af 12. juni 2009, § 1 i lov nr. 341 af 27. april 2011, § 2 i lov nr. 477 af 30. maj 2012 og § 11 i lov nr. 546 af 18. juni 2012, foretages følgende ændringer:";"323";"2011";"årsregnskabsloven";"lovbekendtgørelse"
"I bogføringsloven, jf. lovbekendtgørelse nr. 648 af 15. juni 2006, som ændret ved § 62 i lov nr. 468 af 17. juni 2008, foretages følgende ændring:";"648";"2006";"bogføringsloven";"lovbekendtgørelse"
"I lov om Det Centrale Virksomhedsregister, jf. lovbekendtgørelse nr. 653 af 15. juni 2006, som ændret ved § 4 i lov nr. 516 af 12. juni 2009, foretages følgende ændringer:";"653";"2006";"lov om Det Centrale Virksomhedsregister";"lovbekendtgørelse"
"I revisorloven, lov nr. 468 af 17. juni 2008, som ændret ved § 6 i lov nr. 133 af 24. februar 2009, § 3 i lov nr. 516 af 12. juni 2009 og § 24 i lov nr. 718 af 25. juni 2010, foretages følgende ændringer:";"468";"2008";"revisorloven";"lov"
