#TYPE System.Management.Automation.PSCustomObject
"Text";"Number";"Year";"Title";"DocType"
"I børneloven, jf. lovbekendtgørelse nr. 1047 af 8. november 2012, som ændret ved § 11 i lov nr. 622 af 12. juni 2013, § 22 i lov nr. 647 af 12. juni 2013 og § 1 i lov nr. 652 af 12. juni 2013, foretages følgende ændringer:";"1047";"2012";"børneloven";"lovbekendtgørelse"
"I lov om børns forsørgelse, jf. lovbekendtgørelse nr. 1044 af 29. oktober 2009, som ændret ved § 18 i lov nr. 647 af 12. juni 2013 og § 4 i lov nr. 652 af 12. juni 2013, foretages følgende ændring:";"1044";"2009";"lov om børns forsørgelse";"lovbekendtgørelse"
"I retsplejeloven, jf. lovbekendtgørelse nr. 1139 af 24. september 2013, som ændret ved § 1 i lov nr. 1242 af 18. december 2012, foretages følgende ændring:";"1139";"2013";"retsplejeloven";"lovbekendtgørelse"
"I lov om fremme af energibesparelser i bygninger, jf. lovbekendtgørelse nr. 636 af 19. juni 2012, foretages følgende ændring:";"636";"2012";"lov om fremme af energibesparelser i bygninger";"lovbekendtgørelse"
"I fusionsskatteloven, jf. lovbekendtgørelse nr. 1120 af 14. november 2012, som ændret ved § 4 i lov nr. 433 af 16. maj 2012, § 2 i lov nr. 1255 af 18. december 2012, § 2 i lov nr. 1402 af 23. december 2012 og § 19 i lov nr. 600 af 12. juni 2013, foretages følgende ændringer:";"1120";"2012";"fusionsskatteloven";"lovbekendtgørelse"
"I selskabsskatteloven, jf. lovbekendtgørelse nr. 1082 af 14. november 2012, som ændret bl.a. ved § 10 i lov nr. 433 af 16. maj 2012, § 2 i lov nr. 923 af 18. september 2012, § 17 i lov nr. 1354 af 21. december 2012 og § 17 i lov nr. 600 af 12. juni 2013 og senest ved § 1 i lov nr. 792 af 28. juni 2013, foretages følgende ændringer:";"1082";"2012";"selskabsskatteloven";"lovbekendtgørelse"
"I lov om skattefri virksomhedsomdannelse, jf. lovbekendtgørelse nr. 963 af 19. september 2011, som ændret ved § 12 i lov nr. 433 af 16. maj 2012, foretages følgende ændringer:";"963";"2011";"lov om skattefri virksomhedsomdannelse";"lovbekendtgørelse"
"I ejendomsværdiskatteloven, jf. lovbekendtgørelse nr. 486 af 14. maj 2013, foretages følgende ændringer:";"486";"2013";"ejendomsværdiskatteloven";"lovbekendtgørelse"
"I ligningsloven, jf. lovbekendtgørelse nr. 405 af 22. april 2013, som ændret senest ved § 7 i lov nr. 792 af 28. juni 2013, foretages følgende ændring:";"405";"2013";"ligningsloven";"lovbekendtgørelse"
"I årsregnskabsloven, jf. lovbekendtgørelse nr. 1253 af 1. november 2013, foretages følgende ændringer:";"1253";"2013";"årsregnskabsloven";"lovbekendtgørelse"
"I selskabsloven, jf. lovbekendtgørelse nr. 322 af 11. april 2011, som ændret bl.a. ved § 1 i lov nr. 616 af 12. juni 2013 og senest ved § 5 i lov nr. 634 af 12. juni 2013, foretages følgende ændringer:";"322";"2011";"selskabsloven";"lovbekendtgørelse"
"I lov om finansiel virksomhed, jf. lovbekendtgørelse nr. 948 af 2. juli 2013, som ændret senest ved § 25 i lov nr. 639 af 12. juni 2013, foretages følgende ændringer:";"948";"2013";"lov om finansiel virksomhed";"lovbekendtgørelse"
"I lov om arbejdsløshedsforsikring m.v., jf. lovbekendtgørelse nr. 1101 af 12. september 2013, foretages følgende ændringer:";"1101";"2013";"lov om arbejdsløshedsforsikring m.v.";"lovbekendtgørelse"
"I dyreværnsloven, jf. lovbekendtgørelse nr. 252 af 8. marts 2013, foretages følgende ændringer:";"252";"2013";"dyreværnsloven";"lovbekendtgørelse"
"I lov om foderstoffer, jf. lovbekendtgørelse nr. 418 af 3. maj 2011, foretages følgende ændringer:";"418";"2011";"lov om foderstoffer";"lovbekendtgørelse"
"I lov om hold af slagtekyllinger, jf. lovbekendtgørelse nr. 687 af 22. juni 2011, foretages følgende ændringer:";"687";"2011";"lov om hold af slagtekyllinger";"lovbekendtgørelse"
