#TYPE Selected.System.Text.RegularExpressions.Match
"Value";"Number";"Year";"Title";"DocType"
"I udlændingeloven, jf. lovbekendtgørelse nr. 1021 af 19. september 2014, som ændret bl.a. ved § 1 i lov nr. 1616 af 23. december 2013, § 1 i lov nr. 1488 af 23. december 2014, lov nr. 153 af 18. februar 2015, § 2 i lov nr. 176 af 24. februar 2015, lov nr. 271 af 25. marts 2015, § 1 i lov nr. 685 af 27. maj 2015, lov nr. 1273 af 20. november 2015 og lov nr. 1499 af 11. december 2015 og senest ved § 11 i lov nr. 1741 af 22. december 2015, foretages følgende ændringer:";"1021";"2014";"udlændingeloven";"lovbekendtgørelse"
"I retsplejelov for Grønland, lov nr. 305 af 30. april 2008, som ændret ved lov nr. 1388 af 23. december 2012 og lov nr. 740 af 25. juni 2014, foretages følgende ændringer:";"305";"2008";"retsplejelov for Grønland";"lov"
"I kriminallov for Grønland, lov nr. 306 af 30. april 2008, foretages følgende ændring:";"306";"2008";"kriminallov for Grønland";"lov"
"I lov om dansk indfødsret, jf. lovbekendtgørelse nr. 422 af 7. juni 2004, som ændret bl.a. ved lov nr. 730 af 25. juni 2014 og lov nr. 1496 af 23. december 2014 og senest ved lov nr. 534 af 29. april 2015, foretages følgende ændringer:";"422";"2004";"lov om dansk indfødsret";"lovbekendtgørelse"
"I lov om lige løn til mænd og kvinder, jf. lovbekendtgørelse nr. 899 af 5. september 2008, som ændret ved lov nr. 513 af 26. maj 2014, foretages følgende ændringer:";"899";"2008";"lov om lige løn til mænd og kvinder";"lovbekendtgørelse"
"I lov om offentlige indsamlinger og pyramidespil, jf. lovbekendtgørelse nr. 555 af 6. juni 2006, foretages følgende ændring:";"555";"2006";"lov om offentlige indsamlinger og pyramidespil";"lovbekendtgørelse"
"I sundhedsloven, jf. lovbekendtgørelse nr. 1202 af 14. november 2014, som ændret senest ved § 1 i lov nr. 1870 af 29. december 2015, foretages følgende ændringer:";"1202";"2014";"sundhedsloven";"lovbekendtgørelse"
"I lov om vandforsyning m.v., jf. lovbekendtgørelse nr. 1584 af 10. december 2015, foretages følgende ændringer:";"1584";"2015";"lov om vandforsyning m.v.";"lovbekendtgørelse"
"I lov om betalingsregler for spilde­vands­for­synings­selskaber m.v., jf. lovbekendtgørelse nr. 633 af 7. juni 2010, som ændret bl.a. ved § 2 i lov nr. 1149 af 11. december 2012, § 1 i lov nr. 61 af 29. januar 2013 og lov nr. 902 af 4. juli 2013 og senest ved § 1 i lov nr. 56 af 27. januar 2015, foretages følgende ændringer:";"633";"2010";"lov om betalingsregler for spilde­vands­for­synings­selskaber m.v.";"lovbekendtgørelse"
"I lov om miljøbeskyttelse, jf. lovbekendtgørelse nr. 1317 af 19. november 2015, foretages følgende ændringer:";"1317";"2015";"lov om miljøbeskyttelse";"lovbekendtgørelse"
"I lov om kommuners afståelse af vandforsyninger og spildevandsforsyninger, jf. lovbekendtgørelse nr. 634 af 7. juni 2010, foretages følgende ændringer:";"634";"2010";"lov om kommuners afståelse af vandforsyninger og spildevandsforsyninger";"lovbekendtgørelse"
"I lov om varmeforsyning, jf. lovbekendtgørelse nr. 1307 af 24. november 2014, som ændret ved § 3 i lov nr. 1498 af 23. december 2014, § 154 i lov nr. 1520 af 27. december 2014 og § 1 i lov nr. 745 af 1. juni 2015, foretages følgende ændring:";"1307";"2014";"lov om varmeforsyning";"lovbekendtgørelse"
"I lov om elforsyning, jf. lovbekendtgørelse nr. 1329 af 25. november 2013, som ændret bl.a. ved § 1 i lov nr. 466 af 18. maj 2011 og senest ved § 1 i lov nr. 1283 af 24. november 2015, foretages følgende ændring:";"1329";"2013";"lov om elforsyning";"lovbekendtgørelse"
"I lov om naturgasforsyning, jf. lovbekendtgørelse nr. 1331 af 25. november 2013, som ændret ved § 2 i lov nr. 466 af 18. maj 2011, § 2 i lov nr. 633 af 16. juni 2014 og § 2 i lov nr. 1498 af 23. december 2014, foretages følgende ændring:";"1331";"2013";"lov om naturgasforsyning";"lovbekendtgørelse"
"I lov om kommunal udligning og generelle tilskud til kommuner, jf. lovbekendtgørelse nr. 798 af 24. juni 2013, som ændret senest ved § 2 i lov nr. 1875 af 29. december 2015, foretages følgende ændring:";"798";"2013";"lov om kommunal udligning og generelle tilskud til kommuner";"lovbekendtgørelse"
"I lov om landbrugsejendomme, jf. lovbekendtgørelse nr. 26 af 14. januar 2015, foretages følgende ændringer:";"26";"2015";"lov om landbrugsejendomme";"lovbekendtgørelse"
"I lov om forurenet jord, jf. lovbekendtgørelse nr. 895 af 3. juli 2015, foretages følgende ændringer:";"895";"2015";"lov om forurenet jord";"lovbekendtgørelse"
"I jordfordelingsloven, jf. lovbekendtgørelse nr. 1707 af 14. december 2015, foretages følgende ændring:";"1707";"2015";"jordfordelingsloven";"lovbekendtgørelse"
"I lov om afgift af ledningsført vand, jf. lovbekendtgørelse nr. 962 af 27. juni 2013, som ændret ved § 8 i lov nr. 924 af 18. september 2012, § 14 i lov nr. 1634 af 26. december 2013, § 2 i lov nr. 538 af 29. april 2015 og § 4 i lov nr. 1893 af 29. december 2015, foretages følgende ændringer:";"962";"2013";"lov om afgift af ledningsført vand";"lovbekendtgørelse"
"I lov om afgift af spildevand, jf. lovbekendtgørelse nr. 938 af 27. juni 2013, som ændret ved § 1 i lov nr. 522 af 12. juni 2009 og § 6 i lov nr. 1893 af 29. december 2015, foretages følgende ændring:";"938";"2013";"lov om afgift af spildevand";"lovbekendtgørelse"
"I lov om miljøgodkendelse m.v. af husdyrbrug, jf. lovbekendtgørelse nr. 868 af 3. juli 2015, foretages følgende ændringer:";"868";"2015";"lov om miljøgodkendelse m.v. af husdyrbrug";"lovbekendtgørelse"
"I forældreansvarsloven, jf. lovbekendtgørelse nr. 1820 af 23. december 2015, foretages følgende ændringer:";"1820";"2015";"forældreansvarsloven";"lovbekendtgørelse"
"I lov om social service, jf. lovbekendtgørelse nr. 1284 af 17. november 2015, som ændret senest ved lov nr. 1894 af 29. december 2015, foretages følgende ændring:";"1284";"2015";"lov om social service";"lovbekendtgørelse"
"I ligningsloven, jf. lovbekendtgørelse nr. 1081 af 7. september 2015, som ændret bl.a. ved lov nr. 997 af 30. august 2015 og senest ved lov nr. 1890 af 29. december 2015, foretages følgende ændringer:";"1081";"2015";"ligningsloven";"lovbekendtgørelse"
"I lov om apoteksvirksomhed, jf. lovbekendtgørelse nr. 657 af 28. juli 1995, som ændret senest ved § 108 i lov nr. 1180 af 12. december 2005, foretages følgende ændring:";"657";"1995";"lov om apoteksvirksomhed";"lovbekendtgørelse"
"I lov om aktiv socialpolitik, jf. lovbekendtgørelse nr. 468 af 20. maj 2016, som ændret ved § 1 i lov nr. 1000 af 30. august 2015, § 6 i lov nr. 1569 af 15. december 2015, § 17 i lov nr. 623 af 8. juni 2016, § 2 i lov nr. 625 af 8. juni 2016 og § 11 i lov nr. 665 af 8. juni 2016, foretages følgende ændringer:";"468";"2016";"lov om aktiv socialpolitik";"lovbekendtgørelse"
"I barselsloven, jf. lovbekendtgørelse nr. 571 af 29. april 2015, som ændret ved § 6 i lov nr. 624 af 8. juni 2016, foretages følgende ændringer:";"571";"2015";"barselsloven";"lovbekendtgørelse"
"I lov om en garantifond for skadesforsikringsselskaber, jf. lovbekendtgørelse nr. 419 af 1. maj 2007, som ændret ved § 15 i lov nr. 1556 af 21. december 2010 og § 50 i lov nr. 1231 af 18. december 2012, foretages følgende ændringer:";"419";"2007";"lov om en garantifond for skadesforsikringsselskaber";"lovbekendtgørelse"
"I konkurrenceloven, jf. lovbekendtgørelse nr. 869 af 8. juli 2015, foretages følgende ændringer:";"869";"2015";"konkurrenceloven";"lovbekendtgørelse"
"I lov om social service, jf. lovbekendtgørelse nr. 1270 af 24. oktober 2016, som ændret ved § 1 i lov nr. 647 af 8. juni 2016, foretages følgende ændringer:";"1270";"2016";"lov om social service";"lovbekendtgørelse"
"I lov om retssikkerhed og administration på det sociale område, jf. lovbekendtgørelse nr. 1345 af 23. november 2016, foretages følgende ændringer:";"1345";"2016";"lov om retssikkerhed og administration på det sociale område";"lovbekendtgørelse"
"I lov om socialtilsyn, jf. lovbekendtgørelse nr. 124 af 12. februar 2016, som ændret ved § 2 i lov nr. 647 af 8. juni 2016, foretages følgende ændringer:";"124";"2016";"lov om socialtilsyn";"lovbekendtgørelse"
"I lov om social service, jf. lovbekendtgørelse nr. 1270 af 24. oktober 2016, som ændret ved § 1 i lov nr. 647 af 8. juni 2016, foretages følgende ændringer:";"1270";"2016";"lov om social service";"lovbekendtgørelse"
"I dagtilbudsloven, jf. lovbekendtgørelse nr. 748 af 20. juni 2016, foretages følgende ændringer:";"748";"2016";"dagtilbudsloven";"lovbekendtgørelse"
"I dagtilbudsloven, jf. lovbekendtgørelse nr. 748 af 20. juni 2016, foretages følgende ændringer:";"748";"2016";"dagtilbudsloven";"lovbekendtgørelse"
"I selskabsloven, jf. lovbekendtgørelse nr. 1089 af 14. september 2015, som ændret ved § 1 i lov nr. 262 af 16. marts 2016 og § 2 i lov nr. 631 af 8. juni 2016, foretages følgende ændringer:";"1089";"2015";"selskabsloven";"lovbekendtgørelse"
"I årsregnskabsloven, jf. lovbekendtgørelse nr. 1580 af 10. december 2015, foretages følgende ændringer:";"1580";"2015";"årsregnskabsloven";"lovbekendtgørelse"
"I varemærkeloven, jf. lovbekendtgørelse nr. 192 af 1. marts 2016, som ændret ved § 1 i lov nr. 309 af 28. marts 2015, foretages følgende ændringer:";"192";"2016";"varemærkeloven";"lovbekendtgørelse"
"I designloven, jf. lovbekendtgørelse nr. 189 af 1. marts 2016, som ændret ved § 2 i lov nr. 309 af 28. marts 2015, foretages følgende ændringer:";"189";"2016";"designloven";"lovbekendtgørelse"
"I patentloven, jf. lovbekendtgørelse nr. 191 af 1. marts 2016, som ændret ved § 1 i lov nr. 1057 af 23. december 1992, § 5 i lov nr. 551 af 2. juni 2014 og § 3 i lov nr. 309 af 28. marts 2015, foretages følgende ændringer:";"191";"2016";"patentloven";"lovbekendtgørelse"
"I lov om brugsmodeller, jf. lovbekendtgørelse nr. 190 af 1. marts 2016, som ændret ved § 6 i lov nr. 551 af 2. juni 2014 og § 4 i lov nr. 309 af 28. marts 2015, foretages følgende ændringer:";"190";"2016";"lov om brugsmodeller";"lovbekendtgørelse"
"I lov om beskyttelse af halvlederprodukters udformning (topografi), jf. lovbekendtgørelse nr. 105 af 24. januar 2012, foretages følgende ændring:";"105";"2012";"lov om beskyttelse af halvlederprodukters udformning (topografi)";"lovbekendtgørelse"
