#TYPE System.Management.Automation.PSCustomObject
"Text";"Number";"Year";"Title";"DocType"
"I lov nr. 652 af 12. juni 2013 om ændring af børneloven, lov om adoption, retsplejeloven og forskellige andre love (Medmoderskab m.v.) foretages følgende ændringer:";"652";"2013";"Lov om ændring af børneloven, lov om adoption, retsplejeloven og forskellige andre love (Medmoderskab m.v.)";"lov"
"I lov nr. 600 af 12. juni 2013 om Danpilot foretages følgende ændring:";"600";"2013";"Lov om Danpilot";"lov"
"I lov nr. 616 af 12. juni 2013 om ændring af selskabsloven, lov om visse erhvervsdrivende virksomheder, årsregnskabsloven og lov om Det Centrale Virksomhedsregister (Indførelse af iværksætterselskaber, nedsættelse af minimumskrav til anpartsselskabers selskabskapital, afskaffelse af muligheden for at stifte nye selskaber med begrænset ansvar omfattet af lov om visse erhvervsdrivende virksomheder m.v.) foretages følgende ændring:";"616";"2013";"Lov om ændring af selskabsloven, lov om visse erhvervsdrivende virksomheder, årsregnskabsloven og lov om Det Centrale Virksomhedsregister (Indførelse af iværksætterselskaber, nedsættelse af minimumskrav til anpartsselskabers selskabskapital, afskaffelse af muligheden for at stifte nye selskaber med begrænset ansvar omfattet af lov om visse erhvervsdrivende virksomheder m.v.)";"lov"
"I lov nr. 465 af 12. juni 2009 om sikring af dyrepatogener foretages følgende ændringer:";"465";"2009";"Lov om sikring af dyrepatogener";"lov"
"I lov nr. 91 af 9. februar 2011 om hold af slagtekalkuner foretages følgende ændringer:";"91";"2011";"Lov om hold af slagtekalkuner";"lov"
"I lov nr. 651 af 12. juni 2013 om ændring af lov om social service, lov om retssikkerhed og administration på det sociale område og lov om forpligtende kommunale samarbejder (Konsekvensændringer som følge af lov om socialtilsyn m.v.) foretages følgende ændring:";"651";"2013";"Lov om ændring af lov om social service, lov om retssikkerhed og administration på det sociale område og lov om forpligtende kommunale samarbejder (Konsekvensændringer som følge af lov om socialtilsyn m.v.)";"lov"
"I lov nr. 555 af 18. juni 2012 om internationalt udviklingssamarbejde foretages følgende ændring:";"555";"2012";"Lov om internationalt udviklingssamarbejde";"lov"
"I lov nr. 1333 af 19. december 2008 om inddrivelse af gæld til det offentlige, som ændret senest ved § 2 i lov nr. 649 af 12. juni 2013, foretages følgende ændringer:";"1333";"2008";"Lov om inddrivelse af gæld til det offentlige, som ændret senest ved § 2 i lov nr. 649 af 12. juni 2013,";"lov"
"I lov nr. 113 af 1. februar 2010 om fond til grøn omstilling og erhvervsmæssig fornyelse, som ændret ved § 20 i lov nr. 1231 af 18. december 2012, foretages følgende ændringer:";"113";"2010";"Lov om fond til grøn omstilling og erhvervsmæssig fornyelse";"lov"
"I lov nr. 735 af 6. december 1989 om kundgørelse af love, anordninger og bekendtgørelser på Færøerne foretages følgende ændringer:";"735";"1989";"Lov om kundgørelse af love, anordninger og bekendtgørelser på Færøerne";"lov"
"I lov nr. 87 af 30. januar 2007 om Fonden for Forebyggelse og Fastholdelse, som ændret bl.a. ved lov nr. 430 af 28. april 2010 og senest ved lov nr. 1381 af 23. december 2012, foretages følgende ændring:";"87";"2007";"Lov om Fonden for Forebyggelse og Fastholdelse, som ændret bl.a. ved lov nr. 430 af 28. april 2010 og senest ved lov nr. 1381 af 23. december 2012,";"lov"
"I lov nr. 1543 af 20. december 2006 om seniorjob, som ændret senest ved § 17 i lov nr. 493 af 21. maj 2013, foretages følgende ændringer:";"1543";"2006";"Lov om seniorjob, som ændret senest ved § 17 i lov nr. 493 af 21. maj 2013,";"lov"
"I lov nr. 1374 af 23. december 2012 om uddannelsesordning for ledige, som har opbrugt deres dagpengeret, som ændret ved § 14 i lov nr. 493 af 21. maj 2013 og § 1 i lov nr. 790 af 28. juni 2013, foretages følgende ændringer:";"1374";"2012";"Lov om uddannelsesordning for ledige, som har opbrugt deres dagpengeret";"lov"
"I lov nr. 894 af 4. juli 2013 om ændring af lov om aktiv socialpolitik, SU-loven, lov om børnetilskud og forskudsvis udbetaling af børnebidrag og forskellige andre love (Reform af kontanthjælpssystemet, uddannelseshjælp for unge, aktivitetstillæg, gensidig forsørgelsespligt mellem samlevende, ændrede rådighedskrav og sanktioner m.v.) foretages følgende ændringer:";"894";"2013";"Lov om ændring af lov om aktiv socialpolitik, SU-loven, lov om børnetilskud og forskudsvis udbetaling af børnebidrag og forskellige andre love (Reform af kontanthjælpssystemet, uddannelseshjælp for unge, aktivitetstillæg, gensidig forsørgelsespligt mellem samlevende, ændrede rådighedskrav og sanktioner m.v.)";"lov"
"I lov nr. 895 af 4. juli 2013 om ændring af lov om en aktiv be­skæf­tigel­ses­indsats, lov om ansvaret for og styring­en af den aktive beskæftigelsesindsats og forskellige andre love (Reform af kontanthjælpssystemet, uddannelsespålæg, uddannelsesrettet indsats til unge, jobrettet indsats til kon­tant­hjælps­modtagere, hel­heds­orienteret indsats til udsatte m.v.) foretages følgende ændringer:";"895";"2013";"Lov om ændring af lov om en aktiv be­skæf­tigel­ses­indsats, lov om ansvaret for og styring­en af den aktive beskæftigelsesindsats og forskellige andre love (Reform af kontanthjælpssystemet, uddannelsespålæg, uddannelsesrettet indsats til unge, jobrettet indsats til kon­tant­hjælps­modtagere, hel­heds­orienteret indsats til udsatte m.v.)";"lov"
"I lov nr. 1511 af 27. december 2009 om ændring af udlændingeloven (Gennemførelse af forordning om en fællesskabskodeks for visa (visumkodeks), bemyndigelse til at fastsætte regler om studieaktivitet m.v.) foretages følgende ændring:";"1511";"2009";"Lov om ændring af udlændingeloven (Gennemførelse af forordning om en fællesskabskodeks for visa (visumkodeks), bemyndigelse til at fastsætte regler om studieaktivitet m.v.)";"lov"
"I lov nr. 604 af 12. juni 2013 om Politiets Efterretningstjeneste (PET) foretages følgende ændringer:";"604";"2013";"Lov om Politiets Efterretningstjeneste (PET)";"lov"
"I lov nr. 602 af 12. juni 2013 om Forsvarets Efterretningstjeneste (FE) foretages følgende ændring:";"602";"2013";"Lov om Forsvarets Efterretningstjeneste (FE)";"lov"
"I lov nr. 186 af 12. marts 1997 om film, som ændret bl.a. ved § 3 i lov nr. 563 af 24. juni 2005 og senest ved § 17 i lov nr. 458 af 8. maj 2013, foretages følgende ændring:";"186";"1997";"Lov om film, som ændret bl.a. ved § 3 i lov nr. 563 af 24. juni 2005 og senest ved § 17 i lov nr. 458 af 8. maj 2013,";"lov"
"I lov nr. 246 af 8. juni 1978 om visse foranstaltninger imod tyveri fra det kgl. bibliotek foretages følgende ændringer:";"246";"1978";"Lov om visse foranstaltninger imod tyveri fra det kgl. bibliotek";"lov"
"I lov nr. 372 af 2. juni 1999 om miljøbidrag, godtgørelse og skrotningsbidrag i forbindelse med ophugning og skrotning af biler, som ændret ved lov nr. 385 af 6. juni 2002 og § 106 i lov nr. 428 af 6. juni 2005, foretages følgende ændringer:";"372";"1999";"Lov om miljøbidrag, godtgørelse og skrotningsbidrag i forbindelse med ophugning og skrotning af biler";"lov"
"I lov nr. 522 af 26. maj 2010 om havstrategi, som ændret ved § 24 i lov nr. 580 af 18. juni 2012, foretages følgende ændring:";"522";"2010";"Lov om havstrategi";"lov"
"I lov nr. 466 af 17. juni 2008 om undersøgelse, forebyggelse og afhjælpning af miljøskader (miljøskadeloven), som ændret senest ved § 10 i lov nr. 580 af 18. juni 2012, foretages følgende ændringer:";"466";"2008";"Lov om undersøgelse, forebyggelse og afhjælpning af miljøskader (miljøskadeloven), som ændret senest ved § 10 i lov nr. 580 af 18. juni 2012,";"lov"
"I lov nr. 490 af 21. maj 2013 om ændring af lov om forurenet jord (Offentlig indsats over for jordforurening, der kan have skadelig virkning på vand eller natur, og nedlæggelse af Depotrådet m.v.) foretages følgende ændring:";"490";"2013";"Lov om ændring af lov om forurenet jord (Offentlig indsats over for jordforurening, der kan have skadelig virkning på vand eller natur, og nedlæggelse af Depotrådet m.v.)";"lov"
"I lov nr. 153 af 26. februar 2011 om ændring af lov om social service (Alarm- eller pejlesystemer over for børn og unge med nedsat psykisk funktionsevne anbragt i døgninstitution eller på opholdssted) foretages følgende ændring:";"153";"2011";"Lov om ændring af lov om social service (Alarm- eller pejlesystemer over for børn og unge med nedsat psykisk funktionsevne anbragt i døgninstitution eller på opholdssted)";"lov"
"I lov nr. 947 af 20. december 1999 om ændring af toldloven, lov om afgift af spiritus m.m., lov om tobaksafgifter, momsloven, kildeskatteloven og lov om en arbejdsmarkedsfond (Svigbekæmpende foranstaltninger m.v.), som ændret ved § 8 i lov nr. 1059 af 17. december 2002, foretages følgende ændring:";"947";"1999";"Lov om ændring af toldloven, lov om afgift af spiritus m.m., lov om tobaksafgifter, momsloven, kildeskatteloven og lov om en arbejdsmarkedsfond (Svigbekæmpende foranstaltninger m.v.)";"lov"
"I lov nr. 1383 af 28. december 2011 om lov om ændring af chokoladeafgiftsloven, tobaksafgiftsloven, øl- og vinafgiftsloven og forskellige andre love (Afgiftsforhøjelser på chokolade, sukkervarer, is, sodavand, tobak, øl og vin) foretages følgende ændring:";"1383";"2011";"Lov om lov om ændring af chokoladeafgiftsloven, tobaksafgiftsloven, øl- og vinafgiftsloven og forskellige andre love (Afgiftsforhøjelser på chokolade, sukkervarer, is, sodavand, tobak, øl og vin)";"lov"
"I lov nr. 924 af 18. september 2012 om ændring af lov om forskellige forbrugsafgifter, brændstofforbrugsafgiftsloven, tonnageskatteloven og forskellige andre love (Indeksering af forskellige punktafgifter og de løbende bilafgifter, regulering af tonnageskatten, forhøjelse af udligningsafgiften og forlængelse af afgiftsfritagelsen for brint- og elbiler), som ændret ved § 15 i lov nr. 1353 af 21. december 2012 og § 6 i lov nr. 789 af 28. juni 2013, foretages følgende ændring:";"924";"2012";"Lov om ændring af lov om forskellige forbrugsafgifter, brændstofforbrugsafgiftsloven, tonnageskatteloven og forskellige andre love (Indeksering af forskellige punktafgifter og de løbende bilafgifter, regulering af tonnageskatten, forhøjelse af udligningsafgiften og forlængelse af afgiftsfritagelsen for brint- og elbiler)";"lov"
"I lov nr. 904 af 4. juli 2013 om ændring af sundhedsloven og lov om klage- og erstatningsadgang inden for sundhedsvæsenet (Ændring af rammerne for almen medicinske ydelser m.v. i praksissektoren, herunder styrkelse af regionernes planlægnings- og styringsmuligheder, ensartet kvalitet, systematisk patientinddragelse, erstatningspligt m.v.) foretages følgende ændring:";"904";"2013";"Lov om ændring af sundhedsloven og lov om klage- og erstatningsadgang inden for sundhedsvæsenet (Ændring af rammerne for almen medicinske ydelser m.v. i praksissektoren, herunder styrkelse af regionernes planlægnings- og styringsmuligheder, ensartet kvalitet, systematisk patientinddragelse, erstatningspligt m.v.)";"lov"
"I lov nr. 594 af 18. juni 2012 om ændring af lov om afgift af bekæmpelsesmidler (Omlægning af afgiften på plantebeskyttelsesmidler til mængdeafgift differentieret efter sundheds- og miljøkriterier og forenkling af afgiften på biocider m.v.) foretages følgende ændring:";"594";"2012";"Lov om ændring af lov om afgift af bekæmpelsesmidler (Omlægning af afgiften på plantebeskyttelsesmidler til mængdeafgift differentieret efter sundheds- og miljøkriterier og forenkling af afgiften på biocider m.v.)";"lov"
