#TYPE System.Management.Automation.PSCustomObject
"Text";"Number";"Year";"Title";"DocType"
"I lov om afgift af affald og råstoffer, jf. lovbekendtgørelse nr. 311 af 1. april 2011, som ændret ved lov nr. 529 af 17. juni 2008 og § 1 i lov nr. 903 af 4. juli 2013, foretages følgende ændring:";"311";"2011";"lov om afgift af affald og råstoffer";"lovbekendtgørelse"
"I lov om kuldioxidafgift af visse energiprodukter, jf. lovbekendtgørelse nr. 321 af 4. april 2011, som ændret bl.a. ved § 2 i lov nr. 903 af 4. juli 2013 og senest ved § 5 i lov nr. 555 af 2. juni 2014, foretages følgende ændringer:";"321";"2011";"lov om kuldioxidafgift af visse energiprodukter";"lovbekendtgørelse"
"I lov om afgift af elektricitet, jf. lovbekendtgørelse nr. 310 af 1. april 2011, som ændret bl.a. ved § 1 i lov nr. 722 af 25. juni 2010, § 1 i lov nr. 1564 af 21. december 2010, § 1 i lov nr. 625 af 14. juni 2011, § 3 i lov nr. 277 af 27. marts 2012, § 2 i lov nr. 574 af 18. juni 2012, § 2 i lov nr. 1395 af 23. december 2012, § 1 i lov nr. 70 af 30. januar 2013 og § 3 i lov nr. 903 af 4. juli 2013 og senest ved § 1 i lov nr. 555 af 2. juni 2014, foretages følgende ændringer:";"310";"2011";"lov om afgift af elektricitet";"lovbekendtgørelse"
"I lov om afgift af naturgas og bygas, jf. lovbekendtgørelse nr. 312 af 1. april 2011, som ændret bl.a. ved § 2 i lov nr. 722 af 25. juni 2010, § 2 i lov nr. 625 af 14. juni 2011 og § 2 i lov nr. 70 af 30. januar 2013 og senest ved § 2 i lov nr. 555 af 2. juni 2014, foretages følgende ændringer:";"312";"2011";"lov om afgift af naturgas og bygas";"lovbekendtgørelse"
"I lov om skattefri kompensation for forhøjede energi- og miljøafgifter, jf. lovbekendtgørelse nr. 538 af 23. maj 2013, foretages følgende ændringer:";"538";"2013";"lov om skattefri kompensation for forhøjede energi- og miljøafgifter";"lovbekendtgørelse"
"I lov om energiafgift af mineralolieprodukter m.v., jf. lovbekendtgørelse nr. 1118 af 26. september 2014, som ændret bl.a. ved § 4 i lov nr. 1564 af 21. december 2010 og senest ved § 4 i lov nr. 555 af 2. juni 2014, foretages følgende ændringer:";"1118";"2014";"lov om energiafgift af mineralolieprodukter m.v.";"lovbekendtgørelse"
"I personskatteloven, jf. lovbekendtgørelse nr. 382 af 8. april 2013, som ændret ved § 9 i lov nr. 433 af 16. maj 2012, foretages følgende ændringer:";"382";"2013";"personskatteloven";"lovbekendtgørelse"
"I tobaksafgiftsloven, jf. lovbekendtgørelse nr. 379 af 1. april 2014, foretages følgende ændringer:";"379";"2014";"tobaksafgiftsloven";"lovbekendtgørelse"
"I aktieavancebeskatningsloven, jf. lovbekendtgørelse nr. 1298 af 31. oktober 2013, som ændret ved § 5 i lov nr. 274 af 26. marts 2014 og § 1 i lov nr. 528 af 28. maj 2014, foretages følgende ændringer:";"1298";"2013";"aktieavancebeskatningsloven";"lovbekendtgørelse"
"I kildeskatteloven, jf. lovbekendtgørelse nr. 1403 af 7. december 2010, som ændret bl.a. ved § 5 i lov nr. 1382 af 28. december 2011 og § 3 i lov nr. 922 af 18. september 2012 og senest ved § 2 i lov nr. 992 af 16. september 2014, foretages følgende ændringer:";"1403";"2010";"kildeskatteloven";"lovbekendtgørelse"
"I konkursskatteloven, jf. lovbekendtgørelse nr. 1242 af 27. oktober 2010, som ændret ved § 19 i lov nr. 529 af 26. maj 2010, § 6 i lov nr. 591 af 18. juni 2012, § 20 i lov nr. 600 af 12. juni 2013 og § 4 i lov nr. 649 af 12. juni 2013, foretages følgende ændring:";"1242";"2010";"konkursskatteloven";"lovbekendtgørelse"
"I ligningsloven, jf. lovbekendtgørelse nr. 1041 af 15. september 2014, foretages følgende ændring:";"1041";"2014";"ligningsloven";"lovbekendtgørelse"
"I personskatteloven, jf. lovbekendtgørelse nr. 382 af 8. april 2013, som ændret ved § 9 i lov nr. 433 af 16. maj 2012 og § 8 i lov nr. 1174 af 5. november 2014, foretages følgende ændringer:";"382";"2013";"personskatteloven";"lovbekendtgørelse"
"I selskabsskatteloven, jf. lovbekendtgørelse nr. 1082 af 14. november 2012, som ændret bl.a. ved lov nr. 1381 af 28. december 2011, § 10 i lov nr. 433 af 16. maj 2012, § 17 i lov nr. 1354 af 21. december 2012, § 17 i lov nr. 600 af 12. juni 2013, § 1 i lov nr. 792 af 28. juni 2013, § 2 i lov nr. 1347 af 3. december 2013 og § 6 i lov nr. 1637 af 26. december 2013 og senest ved § 2 i lov nr. 528 af 28. maj 2014, foretages følgende ændringer:";"1082";"2012";"selskabsskatteloven";"lovbekendtgørelse"
"I skattekontrolloven, jf. lovbekendtgørelse nr. 1264 af 31. oktober 2013, som ændret senest ved § 3 i lov nr. 528 af 28. maj 2014, foretages følgende ændring:";"1264";"2013";"skattekontrolloven";"lovbekendtgørelse"
"I lov om ferie, jf. lovbekendtgørelse nr. 202 af 22. februar 2013, som ændret ved § 3 i lov nr. 790 af 28. juni 2013, lov nr. 512 af 26. maj 2014 og § 7 i lov nr. 720 af 25. juni 2014, foretages følgende ændring:";"202";"2013";"lov om ferie";"lovbekendtgørelse"
"I lov om restaurationsvirksomhed og alkoholbevilling m.v., jf. lovbekendtgørelse nr. 135 af 18. januar 2010, som ændret ved § 34 i lov nr. 718 af 25. juni 2010, § 2 i lov nr. 249 af 30. marts 2011, § 12 i lov nr. 1231 af 18. december 2012, § 4 i lov nr. 633 af 12. juni 2013 og § 3 i lov nr. 736 af 25. juni 2014, foretages følgende ændringer:";"135";"2010";"lov om restaurationsvirksomhed og alkoholbevilling m.v.";"lovbekendtgørelse"
"I ligningsloven, jf. lovbekendtgørelse nr. 1041 af 15. september 2014, foretages følgende ændringer:";"1041";"2014";"ligningsloven";"lovbekendtgørelse"
"I fondsbeskatningsloven, jf. lovbekendtgørelse nr. 934 af 14. august 2014, foretages følgende ændringer:";"934";"2014";"fondsbeskatningsloven";"lovbekendtgørelse"
"I selskabsskatteloven, jf. lovbekendtgørelse nr. 1082 af 14. november 2012, som ændret senest ved § 2 i lov nr. 528 af 28. maj 2014, foretages følgende ændringer:";"1082";"2012";"selskabsskatteloven";"lovbekendtgørelse"
"I skattekontrolloven, jf. lovbekendtgørelse nr. 1264 af 31. oktober 2013, som ændret senest ved § 3 i lov nr. 528 af 28. maj 2014, foretages følgende ændringer:";"1264";"2013";"skattekontrolloven";"lovbekendtgørelse"
"I momsloven, jf. lovbekendtgørelse nr. 106 af 23. januar 2013, som ændret ved § 4 i lov nr. 789 af 28. juni 2013, § 7 i lov nr. 903 af 4. juli 2013, § 2 i lov nr. 1637 af 26. december 2013 og § 1 i lov nr. 554 af 2. juni 2014, foretages følgende ændring:";"106";"2013";"momsloven";"lovbekendtgørelse"
"I skattekontrolloven, jf. lovbekendtgørelse nr. 1264 af 31. oktober 2013, som ændret bl.a. ved § 8 i lov nr. 118 af 7. februar 2012, § 3 i lov nr. 926 af 18. september 2012 og § 1 i lov nr. 1634 af 26. december 2013 og senest ved § 3 i lov nr. 528 af 28. maj 2014, foretages følgende ændringer:";"1264";"2013";"skattekontrolloven";"lovbekendtgørelse"
"I ligningsloven, jf. lovbekendtgørelse nr. 1041 af 15. september 2014, foretages følgende ændringer:";"1041";"2014";"ligningsloven";"lovbekendtgørelse"
"I universitetsloven, jf. lovbekendtgørelse nr. 960 af 14. august 2014, foretages følgende ændringer:";"960";"2014";"universitetsloven";"lovbekendtgørelse"
"I lov om erhvervsakademier for videregående uddannelser, jf. lovbekendtgørelse nr. 935 af 25. august 2014, foretages følgende ændring:";"935";"2014";"lov om erhvervsakademier for videregående uddannelser";"lovbekendtgørelse"
"I lov om professionshøjskoler for videregående uddannelser, jf. lovbekendtgørelse nr. 936 af 25. august 2014, foretages følgende ændring:";"936";"2014";"lov om professionshøjskoler for videregående uddannelser";"lovbekendtgørelse"
"I lov om medie- og journalisthøjskolen, jf. lovbekendtgørelse nr. 205 af 27. februar 2013, som ændret ved § 3 i lov nr. 1614 af 26. december 2013, foretages følgende ændring:";"205";"2013";"lov om medie- og journalisthøjskolen";"lovbekendtgørelse"
"I lov om videregående kunstneriske uddannelsesinstitutioner, jf. lovbekendtgørelse nr. 1673 af 11. december 2013, som ændret ved § 3 i lov nr. 750 af 25. juni 2014, foretages følgende ændringer:";"1673";"2013";"lov om videregående kunstneriske uddannelsesinstitutioner";"lovbekendtgørelse"
"I lov om maritime uddannelser, jf. lovbekendtgørelse nr. 466 af 8. maj 2013, som ændret ved § 4 i lov nr. 898 af 4. juli 2013, § 2 i lov nr. 520 af 26. maj 2014 og § 4 i lov nr. 750 af 25. juni 2014, foretages følgende ændring:";"466";"2013";"lov om maritime uddannelser";"lovbekendtgørelse"
"I lov om adgangsregulering ved videregående uddannelser, jf. lovbekendtgørelse nr. 583 af 1. juni 2014, foretages følgende ændring:";"583";"2014";"lov om adgangsregulering ved videregående uddannelser";"lovbekendtgørelse"
"I lov om åben uddannelse (erhvervsrettet voksen­ud­dan­nel­se) m.v., jf. lovbekendtgørelse nr. 374 af 4. april 2014, som ændret ved § 5 i lov nr. 750 af 25. juni 2014, foretages følgende ændringer:";"374";"2014";"lov om åben uddannelse (erhvervsrettet voksen­ud­dan­nel­se) m.v.";"lovbekendtgørelse"
