#TYPE Selected.System.Text.RegularExpressions.Match
"Value";"Number";"Year";"Title";"DocType"
"I sundhedsloven, jf. lovbekendtgørelse nr. 1188 af 24. september 2016, som ændret ved § 33 i lov nr. 618 af 8. juni 2016, § 39 i lov nr. 620 af 8. juni 2016 og lov nr. 1737 af 27. december 2016, foretages følgende ændringer:";"1188";"2016";"sundhedsloven";"lovbekendtgørelse"
"I sundhedsloven, lov nr. 546 af 24. juni 2005, foretages følgende ændring:";"546";"2005";"sundhedsloven";"lov"
"I lov om autorisation af sundhedspersoner og om sundhedsfaglig virksomhed, jf. lovbekendtgørelse nr. 1356 af 23. oktober 2016, som ændret ved § 1 i lov nr. 1734 af 27. december 2016, foretages følgende ændringer:";"1356";"2016";"lov om autorisation af sundhedspersoner og om sundhedsfaglig virksomhed";"lovbekendtgørelse"
"I lov om klage- og erstatningsadgang inden for sundhedsvæsenet, jf. lovbekendtgørelse nr. 1113 af 7. november 2011, som ændret senest ved § 3 i lov nr. 656 af 8. juni 2016, foretages følgende ændring:";"1113";"2011";"lov om klage- og erstatningsadgang inden for sundhedsvæsenet";"lovbekendtgørelse"
"I lov om inddrivelse af gæld til det offentlige, jf. lovbekendtgørelse nr. 29 af 12. januar 2015, som ændret ved lov nr. 1253 af 17. november 2015, § 1 i lov nr. 298 af 22. marts 2016 og § 1 i lov nr. 428 af 18. maj 2016, foretages følgende ændringer:";"29";"2015";"lov om inddrivelse af gæld til det offentlige";"lovbekendtgørelse"
"I lov om fremgangsmåden ved inddrivelse af skatter og afgifter m.v., jf. lovbekendtgørelse nr. 572 af 20. juni 2001, som ændret ved § 13 i lov nr. 430 af 6. juni 2005 og § 1 i lov nr. 252 af 30. marts 2011, foretages følgende ændringer:";"572";"2001";"lov om fremgangsmåden ved inddrivelse af skatter og afgifter m.v.";"lovbekendtgørelse"
"I lov om kommunal ejendomsskat, jf. lovbekendtgørelse nr. 1104 af 22. august 2013, som ændret ved § 1 i lov nr. 1887 af 29. december 2015, § 1 i lov nr. 179 af 1. marts 2016 og § 2 i lov nr. 61 af 16. januar 2017, foretages følgende ændring:";"1104";"2013";"lov om kommunal ejendomsskat";"lovbekendtgørelse"
"I lov om bygnings- og boligregistrering, jf. lovbekendtgørelse nr. 1080 af 5. september 2013, som ændret ved § 157 i lov nr. 1520 af 27. december 2014, foretages følgende ændringer:";"1080";"2013";"lov om bygnings- og boligregistrering";"lovbekendtgørelse"
"I lov om Det Centrale Personregister, jf. lovbekendtgørelse nr. 5 af 9. januar 2013, som ændret senest ved lov nr. 1564 af 13. december 2016, foretages følgende ændring:";"5";"2013";"lov om Det Centrale Personregister";"lovbekendtgørelse"
"I retsplejelov for Grønland, lov nr. 305 af 30. april 2008, som ændret bl.a. ved lov nr. 740 af 25. juni 2014 og senest ved lov nr. 639 af 8. juni 2016, foretages følgende ændringer:";"305";"2008";"retsplejelov for Grønland";"lov"
"I kriminallov for Grønland, lov nr. 306 af 30. april 2008, som ændret ved § 1 i lov nr. 735 af 25. juni 2014 og § 4 i lov nr. 103 af 3. februar 2016, foretages følgende ændringer:";"306";"2008";"kriminallov for Grønland";"lov"
"I lov om miljøbidrag og godtgørelse i forbindelse med ophugning og skrotning af biler, jf. lovbekendtgørelse nr. 867 af 3. juli 2015, foretages følgende ændring:";"867";"2015";"lov om miljøbidrag og godtgørelse i forbindelse med ophugning og skrotning af biler";"lovbekendtgørelse"
"I lov om en aktiv beskæftigelsesindsats, jf. lov­bekendt­gørelse nr. 1342 af 21. november 2016, foretages følgende ændringer:";"1342";"2016";"lov om en aktiv beskæftigelsesindsats";"lov­bekendt­gørelse"
"I lov om arbejdsløshedsforsikring m.v., jf. lov­bekendt­gørelse nr. 128 af 31. januar 2017, som ændret ved § 1 i lov nr. 624 af 8. juni af 2016 og lov nr. 1718 af 27. december 2016, foretages følgende ændringer:";"128";"2017";"lov om arbejdsløshedsforsikring m.v.";"lov­bekendt­gørelse"
"I lov om valg til Folketinget, jf. lovbekendtgørelse nr. 416 af 12. maj 2016, som ændret ved § 22 i lov nr. 628 af 8. juni 2016, foretages følgende ændringer:";"416";"2016";"lov om valg til Folketinget";"lovbekendtgørelse"
