#TYPE System.Management.Automation.PSCustomObject
"Text";"Number";"Year";"Title";"DocType"
"I lov nr. 1218 af 14. december 2009 om ændring af lov om Arbejdsgivernes Elevrefusion og lov om erhvervsuddannelser. (Justering af præmie, løntilskud og bonus, adgang til skolepraktik og til skoleundervisning og tilskud til praktikvirksomheder) foretages følgende ændringer:";"1218";"2009";"Lov om ændring af lov om Arbejdsgivernes Elevrefusion og lov om erhvervsuddannelser. (Justering af præmie, løntilskud og bonus, adgang til skolepraktik og til skoleundervisning og tilskud til praktikvirksomheder)";"lov"
"I lov nr. 520 af 12. juni 2009 om ændring af lov om merværdiafgift og lov om afgift af lønsum m.v. (Ophævelse af visse momsfritagelser og øget lønsumsafgift for den finansielle sektor m.v.) foretages følgende ændringer:";"520";"2009";"Lov om ændring af lov om merværdiafgift og lov om afgift af lønsum m.v. (Ophævelse af visse momsfritagelser og øget lønsumsafgift for den finansielle sektor m.v.)";"lov"
"I lov nr. 1385 af 21. december 2009 om ændring af lov om energiafgift af mineralolieprodukter m.v., lov om afgift af spiritus m.m., lov om tobaksafgifter, lov om afgift af øl, vin og frugtvin m.m. og forskellige andre love. (Gennemførelse af EU-cirkulationsdirektiv) foretages følgende ændringer:";"1385";"2009";"Lov om ændring af lov om energiafgift af mineralolieprodukter m.v., lov om afgift af spiritus m.m., lov om tobaksafgifter, lov om afgift af øl, vin og frugtvin m.m. og forskellige andre love. (Gennemførelse af EU-cirkulationsdirektiv)";"lov"
"I lov nr. 626 af 11. juni 2010 om ændring af øl- og vinafgiftsloven, spiritusafgiftsloven, tobaksafgiftsloven og lov om ændring af lov om afgift af chokolade- og sukkervarer m.m., lov om afgift af konsum-is, lov om tobaksafgifter og lov om afgift af øl, vin og frugtvin m.m. (Forhøjelse af tillægsafgiften for alkoholsodavand, indførelse af tillægsafgift for cider- og frugtvinsbaserede alkoholsodavand og forhøjelse af tobaksafgiften) foretages følgende ændring:";"626";"2010";"Lov om ændring af øl- og vinafgiftsloven, spiritusafgiftsloven, tobaksafgiftsloven og lov om ændring af lov om afgift af chokolade- og sukkervarer m.m., lov om afgift af konsum-is, lov om tobaksafgifter og lov om afgift af øl, vin og frugtvin m.m. (Forhøjelse af tillægsafgiften for alkoholsodavand, indførelse af tillægsafgift for cider- og frugtvinsbaserede alkoholsodavand og forhøjelse af tobaksafgiften)";"lov"
"I lov nr. 311 af 30. april 2008 om almen voksenuddannelse og om anerkendelse af realkompetence i forhold til fag i almen voksenuddannelse, i hf-uddannelsen og i uddannelsen til studentereksamen (avu-loven) foretages følgende ændring:";"311";"2008";"Lov om almen voksenuddannelse og om anerkendelse af realkompetence i forhold til fag i almen voksenuddannelse, i hf-uddannelsen og i uddannelsen til studentereksamen (avu-loven)";"lov"
"I lov nr. 207 af 31. marts 2008 om er­hvervs­aka­de­mi­ud­dannel­ser og pro­fes­sions­bache­lor­ud­dan­nel­ser, som ændret ved § 1 i lov nr. 537 af 12. juni 2009 og ved § 3 i lov nr. 590 af 26. juni 2009, foretages følgende ændring:";"207";"2008";"Lov om er­hvervs­aka­de­mi­ud­dannel­ser og pro­fes­sions­bache­lor­ud­dan­nel­ser";"lov"
"I lov nr. 579 af 9. juni 2006 om uddannelsen til professionsbachelor som lærer i folkeskolen, som ændret ved § 70 i lov nr. 562 af 6. juni 2007, foretages følgende ændring:";"579";"2006";"Lov om uddannelsen til professionsbachelor som lærer i folkeskolen";"lov"
"I lov nr. 315 af 19. april 2006 om uddannelsen til professionsbachelor som pædagog, som ændret ved § 71 i lov nr. 562 af 6. juni 2007, foretages følgende ændring:";"315";"2006";"Lov om uddannelsen til professionsbachelor som pædagog";"lov"
"I lov nr. 332 af 4. juni 1986 om sikring af kulturværdier i Danmark, som ændret ved § 44 i lov nr. 473 af 7. juni 2001, foretages følgende ændringer:";"332";"1986";"Lov om sikring af kulturværdier i Danmark";"lov"
"I lov nr. 563 af 9. juni 2006 om sygedagpenge, som ændret bl.a. ved § 1 i lov nr. 1545 af 20. december 2006 og § 1 i lov nr. 480 af 12. juni 2009 og senest ved § 2 i lov nr. 701 af 25. juni 2010, foretages følgende ændringer:";"563";"2006";"Lov om sygedagpenge, som ændret bl.a. ved § 1 i lov nr. 1545 af 20. december 2006 og § 1 i lov nr. 480 af 12. juni 2009 og senest ved § 2 i lov nr. 701 af 25. juni 2010,";"lov"
"I lov nr. 118 af 17. februar 2009 om ændring af lov om arbejdsløshedsforsikring m.v. (Beregning af dagpenge, opgørelse af beskæftigelseskrav samt arbejdsløshedskassernes adgang til registersamkøring i forbindelse med anvendelse af indkomstregisteret), foretages følgende ændring:";"118";"2009";"Lov om ændring af lov om arbejdsløshedsforsikring m.v. (Beregning af dagpenge, opgørelse af beskæftigelseskrav samt arbejdsløshedskassernes adgang til registersamkøring i forbindelse med anvendelse af indkomstregisteret),";"lov"
"I lov nr. 1543 af 20. december 2006 om seniorjob, som ændret ved § 4 i lov nr. 483 af 12. juni 2009, foretages følgende ændring:";"1543";"2006";"Lov om seniorjob";"lov"
"I lov nr. 399 af 7. juni 1989 om anvendelse af Christianiaområdet, som ændret ved lov nr. 431 af 9. juni 2004, foretages følgende ændring:";"399";"1989";"Lov om anvendelse af Christianiaområdet";"lov"
"I lov nr. 431 af 9. juni 2004 om ændring af lov om anvendelse af Christianiaområdet. (Ændret formål og ejerskab til området m.v.) foretages følgende ændring:";"431";"2004";"Lov om ændring af lov om anvendelse af Christianiaområdet. (Ændret formål og ejerskab til området m.v.)";"lov"
"I lov nr. 432 af 9. juni 2004 om hold af dyr, som ændret senest ved § 2 i lov nr. 402 af 21. april 2010, foretages følgende ændringer:";"432";"2004";"Lov om hold af dyr, som ændret senest ved § 2 i lov nr. 402 af 21. april 2010,";"lov"
"I lov nr. 497 af 7. juni 2006 om konkurrencemæssig ligestilling mellem kommuners og regioners egenproduktion og køb af ydelser hos eksterne leverandører i relation til udgifter til merværdiafgift m.v. samt om Momsfondet foretages følgende ændringer:";"497";"2006";"Lov om konkurrencemæssig ligestilling mellem kommuners og regioners egenproduktion og køb af ydelser hos eksterne leverandører i relation til udgifter til merværdiafgift m.v. samt om Momsfondet";"lov"
"I lov nr. 385 af 25. maj 2009 om betalingstjenester, som ændret ved § 4 i lov nr. 1273 af 16. december 2009, § 5 i lov nr. 579 af 1. juni 2010 og § 26 i lov nr. 718 af 25. juni 2010, foretages følgende ændringer:";"385";"2009";"Lov om betalingstjenester";"lov"
"I lov nr. 451 af 9. juni 2004 om visse forbrugeraftaler, som ændret ved § 112 i lov nr. 385 af 25. maj 2009 og lov nr. 492 af 12. juni 2009, foretages følgende ændring:";"451";"2004";"Lov om visse forbrugeraftaler";"lov"
"I lov nr. 226 af 22. april 2002 om maritime uddannelser, som ændret ved § 5 i lov nr. 364 af 13. maj 2009 og § 6 i lov nr. 493 af 12. maj 2010, foretages følgende ændringer:";"226";"2002";"Lov om maritime uddannelser";"lov"
"I lov nr. 492 af 12. maj 2010 om håndhævelse af udbudsreglerne m.v. foretages følgende ændringer:";"492";"2010";"Lov om håndhævelse af udbudsreglerne m.v.";"lov"
"I lov nr. 469 af 17. juni 2008 om en terrorforsikringsordning på skadesforsikringsområdet, foretages følgende ændring:";"469";"2008";"Lov om en terrorforsikringsordning på skadesforsikringsområdet,";"lov"
"I lov nr. 579 af 1. juni 2010 om ændring af lov om finansiel virksomhed, lov om realkreditlån og realkreditobligationer m.v., lov om Danmarks Nationalbank og forskellige andre love. (Styrkelse af Finanstilsynets tilsynsvirksomhed, præcisering af krav til styring og indretning af finansielle virksomheder m.v. og ændring af regler om egnethed og hæderlighed m.v.) foretages følgende ændringer:";"579";"2010";"Lov om ændring af lov om finansiel virksomhed, lov om realkreditlån og realkreditobligationer m.v., lov om Danmarks Nationalbank og forskellige andre love. (Styrkelse af Finanstilsynets tilsynsvirksomhed, præcisering af krav til styring og indretning af finansielle virksomheder m.v. og ændring af regler om egnethed og hæderlighed m.v.)";"lov"
"I lov nr. 338 af 1. maj 2009 om ændring af lov om en garantifond for indskydere og investorer, lov om finansiel stabilitet og lov om statsligt kapitalindskud i kreditinstitutter. (Forhøjelse af indskydergarantien og Afviklingsselskabets overtagelse af institutter uden for Det Private Beredskab m.v.) foretages følgende ændringer:";"338";"2009";"Lov om ændring af lov om en garantifond for indskydere og investorer, lov om finansiel stabilitet og lov om statsligt kapitalindskud i kreditinstitutter. (Forhøjelse af indskydergarantien og Afviklingsselskabets overtagelse af institutter uden for Det Private Beredskab m.v.)";"lov"
"I lov nr. 718 af 25. juni 2010 om ændring af konkursloven og forskellige andre love. (Rekonstruktion m.v.) foretages følgende ændringer:";"718";"2010";"Lov om ændring af konkursloven og forskellige andre love. (Rekonstruktion m.v.)";"lov"
"I lov nr. 67 af 3. februar 2009 om statsligt kapitalindskud i kreditinstitutter foretages følgende ændring:";"67";"2009";"Lov om statsligt kapitalindskud i kreditinstitutter";"lov"
"I lov nr. 453 af 10. juni 2003 om lov om finansiel virksomhed foretages følgende ændring:";"453";"2003";"Lov om lov om finansiel virksomhed";"lov"
