#TYPE Selected.System.Text.RegularExpressions.Match
"Value";"Number";"Year";"Title";"DocType"
"I lov nr. 122 af 27. februar 2001 om forsvarets formål, opgaver og organisation m.v., som ændret ved lov nr. 568 af 9. juni 2006, foretages følgende ændring:";"122";"2001";"om forsvarets formål, opgaver og organisation m.v., som ændret ved lov nr. 568 af 9. juni 2006, foretages følgende ændring";"lov"
"I lov nr. 150 af 31. marts 1993 om ikrafttræden for Grønland af lov om ægteskabets retsvirkninger foretages følgende ændring:";"150";"1993";"om ikrafttræden for Grønland af lov om ægteskabets retsvirkninger foretages følgende ændring";"lov"
"I lov nr. 1496 af 23. december 2014 om ændring af lov om dansk indfødsret (Accept af dobbelt statsborgerskab og betaling af gebyr i sager om dansk indfødsret) foretages følgende ændring:";"1496";"2014";"om ændring af lov om dansk indfødsret (Accept af dobbelt statsborgerskab og betaling af gebyr i sager om dansk indfødsret) foretages følgende ændring";"lov"
"I lov nr. 1504 af 27. december 2009 om offentligt hasardspil i turneringsform, foretages følgende ændringer:";"1504";"2009";"om offentligt hasardspil i turneringsform, foretages følgende ændringer";"lov"
"I lov nr. 287 af 29. marts 2010 om Sydslesvigudvalget og tilskudsordninger på undervisningsministerens område for det danske mindretal i Sydslesvig foretages følgende ændringer:";"287";"2010";"om Sydslesvigudvalget og tilskudsordninger på undervisningsministerens område for det danske mindretal i Sydslesvig foretages følgende ændringer";"lov"
"I lov nr. 475 af 12. juni 2009 om radiofrekvenser, som ændret ved § 23 i lov nr. 1231 af 18. december 2012, foretages følgende ændringer:";"475";"2009";"om radiofrekvenser, som ændret ved § 23 i lov nr. 1231 af 18. december 2012, foretages følgende ændringer";"lov"
"I lov nr. 469 af 12. juni 2009 om vandsektorens organisering og økonomiske forhold, som ændret bl.a. ved § 1 i lov nr. 1518 af 27. december 2009 og lov nr. 578 af 18. juni 2012 og senest ved § 3 i lov nr. 56 af 27. januar 2015, foretages følgende ændringer:";"469";"2009";"om vandsektorens organisering og økonomiske forhold, som ændret bl.a. ved § 1 i lov nr. 1518 af 27. december 2009 og lov nr. 578 af 18. juni 2012 og senest ved § 3 i lov nr. 56 af 27. januar 2015, foretages følgende ændringer";"lov"
"I lov nr. 547 af 24. juni 2005 om klage- og erstatningsadgang inden for sundhedsvæsenet foretages følgende ændringer:";"547";"2005";"om klage- og erstatningsadgang inden for sundhedsvæsenet foretages følgende ændringer";"lov"
"I lov nr. 619 af 8. juni 2016 om voksenansvar for anbragte børn og unge foretages følgende ændring:";"619";"2016";"om voksenansvar for anbragte børn og unge foretages følgende ændring";"lov"
"I lov nr. 619 af 8. juni 2016 om voksenansvar for anbragte børn og unge foretages følgende ændringer:";"619";"2016";"om voksenansvar for anbragte børn og unge foretages følgende ændringer";"lov"
"I lov nr. 309 af 28. marts 2015 om ændring af varemærkeloven, designloven, patentloven og lov om brugsmodeller (Styrket indsats mod piratkopiering ved etablering af en håndhævelsesenhed m.v.) foretages følgende ændringer:";"309";"2015";"om ændring af varemærkeloven, designloven, patentloven og lov om brugsmodeller (Styrket indsats mod piratkopiering ved etablering af en håndhævelsesenhed m.v.) foretages følgende ændringer";"lov"
