#TYPE System.Management.Automation.PSCustomObject
"Text";"Number";"Year";"Title";"DocType"
"I lov nr. 571 af 6. juni 2007 om fremgangsmåden ved anmeldelse m.v. af visse oplysninger hos Erhvervs- og Selskabsstyrelsen foretages følgende ændringer:";"571";"2007";"Lov om fremgangsmåden ved anmeldelse m.v. af visse oplysninger hos Erhvervs- og Selskabsstyrelsen";"lov"
"I lov nr. 606 af 24. juni 2005 om detailsalg fra butikker m.v., som ændret ved § 4 i lov nr. 391 af 25. maj 2009, lov nr. 543 af 26. maj 2010, § 11 i lov nr. 595 af 14. juni 2011 og lov nr. 321 af 3. april 2012, foretages følgende ændring:";"606";"2005";"Lov om detailsalg fra butikker m.v.";"lov"
"I lov nr. 595 af 14. juni 2011 om næring foretages følgende ændringer:";"595";"2011";"Lov om næring";"lov"
"I lov nr. 486 af 9. juni 2004 om næringsbrev til visse fødevarevirksomheder, som ændret ved § 10 i lov nr. 408 af 8. maj 2006, § 2 i lov nr. 1549 af 20. december 2006, § 1 i lov nr. 391 af 25. maj 2009 og § 3 i lov nr. 604 af 14. juni 2011, foretages følgende ændringer:";"486";"2004";"Lov om næringsbrev til visse fødevarevirksomheder";"lov"
"I lov nr. 548 af 8. juni 2006 om kommuners udførelse af opgaver for andre offentlige myndigheder og kommuners og regioners deltagelse i selskaber, som ændret ved lov nr. 620 af 14. juni 2011, foretages følgende ændring:";"548";"2006";"Lov om kommuners udførelse af opgaver for andre offentlige myndigheder og kommuners og regioners deltagelse i selskaber";"lov"
"I lov nr. 1599 af 20. december 2006 om administration af tilskud fra Den Europæiske Regionalfond og Den Europæiske Socialfond, som ændret ved § 8 i lov nr. 1272 af 16. december 2009 og § 38 i lov nr. 718 af 25. juni 2010, foretages følgende ændringer:";"1599";"2006";"Lov om administration af tilskud fra Den Europæiske Regionalfond og Den Europæiske Socialfond";"lov"
"I lov nr. 113 af 1. februar 2010 om fond til grøn omstilling og erhvervsmæssig fornyelse foretages følgende ændring:";"113";"2010";"Lov om fond til grøn omstilling og erhvervsmæssig fornyelse";"lov"
"I lov nr. 169 af 3. marts 2011 om elektroniske kommunikationsnet og -tjenester, som ændret ved lov nr. 250 af 21. marts 2012, foretages følgende ændringer:";"169";"2011";"Lov om elektroniske kommunikationsnet og -tjenester";"lov"
"I lov nr. 475 af 12. juni 2009 om radiofrekvenser foretages følgende ændringer:";"475";"2009";"Lov om radiofrekvenser";"lov"
"I lov nr. 598 af 24. juni 2005 om internetdomæner, der særligt tildeles Danmark, foretages følgende ændringer:";"598";"2005";"Lov om internetdomæner, der særligt tildeles Danmark,";"lov"
