#TYPE Selected.System.Text.RegularExpressions.Match
"Value";"Number";"Year";"Title";"DocType"
"I lov om aktiv socialpolitik, jf. lovbekendtgørelse nr. 806 af 1. juli 2015, som ændret ved § 1 i lov nr. 1522 af 27. december 2014, foretages følgende ændringer:";"806";"2015";"lov om aktiv socialpolitik";"lovbekendtgørelse"
"I lov om en aktiv beskæftigelsesindsats, jf. lovbekendtgørelse nr. 807 af 1. juli 2015, foretages følgende ændringer:";"807";"2015";"lov om en aktiv beskæftigelsesindsats";"lovbekendtgørelse"
"I integrationsloven, jf. lovbekendtgørelse nr. 1094 af 7. oktober 2014, som ændret ved § 66 i lov nr. 1482 af 23. december 2014 og § 2 i lov nr. 1488 af 23. december 2014, foretages følgende ændringer:";"1094";"2014";"integrationsloven";"lovbekendtgørelse"
"I lov om ferie, jf. lovbekendtgørelse nr. 202 af 22. februar 2013, som ændret bl.a. ved § 3 i lov nr. 790 af 28. juni 2013, lov nr. 1368 af 16. december 2014 og § 29 i lov nr. 174 af 24. februar 2015 og senest ved § 2 i lov nr. 685 af 27. maj 2015, foretages følgende ændring:";"202";"2013";"lov om ferie";"lovbekendtgørelse"
"I lov om individuel boligstøtte, jf. lovbekendtgørelse nr. 158 af 18. februar 2015, som ændret ved § 3 i lov nr. 574 af 10. juni 2014, § 2 i lov nr. 1523 af 27. december 2014, § 4 i lov nr. 527 af 29. april 2015 og § 2 i lov nr. 528 af 29. april 2015, foretages følgende ændring:";"158";"2015";"lov om individuel boligstøtte";"lovbekendtgørelse"
"I lov om social pension, jf. lovbekendtgørelse nr. 10 af 12. januar 2015, som ændret ved § 32 i lov nr. 174 af 24. februar 2015 og § 5 i lov nr. 742 af 1. juni 2015, foretages følgende ændring:";"10";"2015";"lov om social pension";"lovbekendtgørelse"
"I lov om folkeskolen, jf. lovbekendtgørelse nr. 665 af 20. juni 2014, som ændret senest ved lov nr. 747 af 1. juni 2015, foretages følgende ændring:";"665";"2014";"lov om folkeskolen";"lovbekendtgørelse"
"I lov om betaling for visse uddannelsesaktiviteter i forbindelse med lov om en aktiv beskæftigelsesindsats m.m., jf. lovbekendtgørelse nr. 780 af 15. juni 2015, foretages følgende ændringer:";"780";"2015";"lov om betaling for visse uddannelsesaktiviteter i forbindelse med lov om en aktiv beskæftigelsesindsats m.m.";"lovbekendtgørelse"
"I lov om frikommuner m.v., jf. lovbekendtgørelse nr. 1027 af 20. august 2013, som ændret ved § 7 i lov nr. 555 af 2. juni 2014 og lov nr. 1380 af 16. december 2014, foretages følgende ændringer:";"1027";"2013";"lov om frikommuner m.v.";"lovbekendtgørelse"
"I lov om almene boliger m.v., jf. lovbekendtgørelse nr. 1023 af 21. august 2013, som ændret senest ved § 1 i lov nr. 528 af 29. april 2015, foretages følgende ændring:";"1023";"2013";"lov om almene boliger m.v.";"lovbekendtgørelse"
"I lov om kommunal udligning og generelle tilskud til kommuner, jf. lovbekendtgørelse nr. 798 af 24. juni 2013, som ændret ved § 4 i lov nr. 790 af 28. juni 2013, § 7 i lov nr. 895 af 4. juli 2013, § 8 i lov nr. 1610 af 26. december 2013, § 11 i lov nr. 720 af 25. juni 2014, § 6 i lov nr. 1486 af 23. december 2014, § 30 i lov nr. 174 af 24. februar 2015 og lov nr. 582 af 4. maj 2015, foretages følgende ændring:";"798";"2013";"lov om kommunal udligning og generelle tilskud til kommuner";"lovbekendtgørelse"
"I lov om vintervedligeholdelse og renholdelse af veje, jf. lovbekendtgørelse nr. 1103 af 16. september 2010, foretages følgende ændringer:";"1103";"2010";"lov om vintervedligeholdelse og renholdelse af veje";"lovbekendtgørelse"
"I lov om offentlige veje, jf. lovbekendtgørelse nr. 893 af 9. september 2009, som ændret ved § 2 i lov nr. 553 af 26. maj 2010, foretages følgende ændringer:";"893";"2009";"lov om offentlige veje";"lovbekendtgørelse"
"I færdselsloven, jf. lovbekendtgørelse nr. 984 af 5. oktober 2009, som ændret senest ved § 1 i lov nr. 716 af 25. juni 2010, foretages følgende ændringer:";"984";"2009";"færdselsloven";"lovbekendtgørelse"
"I lov om private fællesveje, jf. lovbekendtgørelse nr. 433 af 22. maj 2008, som ændret ved § 131 i lov nr. 1336 af 19. december 2008, foretages følgende ændring:";"433";"2008";"lov om private fællesveje";"lovbekendtgørelse"
