#TYPE System.Management.Automation.PSCustomObject
"Text";"Number";"Year";"Title";"DocType"
"I lov nr. 466 af 17. juni 2008 om undersøgelse, forebyggelse og afhjælpning af miljøskader (miljøskadeloven), som ændret ved § 37 i lov nr. 1336 af 19. december 2008 og § 21 i lov nr. 484 af 11. maj 2010, foretages følgende ændringer:";"466";"2008";"Lov om undersøgelse, forebyggelse og afhjælpning af miljøskader (miljøskadeloven)";"lov"
"I lov nr. 1505 af 27. december 2009 om vurdering og styring af oversvømmelsesrisikoen fra vandløb og søer, som ændret ved § 23 i lov nr. 484 af 11. maj 2010, foretages følgende ændringer:";"1505";"2009";"Lov om vurdering og styring af oversvømmelsesrisikoen fra vandløb og søer";"lov"
"I lov nr. 533 af 6. juni 2007 om nationalparker, som ændret ved § 30 i lov nr. 1336 af 19. december 2008 og § 11 i lov nr. 484 af 11. maj 2010, foretages følgende ændringer:";"533";"2007";"Lov om nationalparker";"lov"
"I lov nr. 423 af 10. maj 2011 om ændring af lov om beskyttelse af havmiljøet og lov om miljøbeskyttelse (Gennemførelse af dele af konventionen om kontrol og behandling af skibes ballastvand (ballastvandkonventionen) og fastsættelse af regler om vurdering af virkninger på miljøet (VVM) m.v. for havbrug beliggende længere end 1 sømil fra kysten) foretages følgende ændring:";"423";"2011";"Lov om ændring af lov om beskyttelse af havmiljøet og lov om miljøbeskyttelse (Gennemførelse af dele af konventionen om kontrol og behandling af skibes ballastvand (ballastvandkonventionen) og fastsættelse af regler om vurdering af virkninger på miljøet (VVM) m.v. for havbrug beliggende længere end 1 sømil fra kysten)";"lov"
"I lov nr. 1218 af 14. december 2009 om ændring af lov om Arbejdsgivernes Elevrefusion og lov om erhvervsuddannelser (Justering af præmie, løntilskud og bonus, adgang til skolepraktik og til skoleundervisning og tilskud til praktikvirksomheder), som ændret ved § 2 i lov nr. 1230 af 2. november 2010 og § 3 i lov nr. 1615 af 22. december 2010, foretages følgende ændringer:";"1218";"2009";"Lov om ændring af lov om Arbejdsgivernes Elevrefusion og lov om erhvervsuddannelser (Justering af præmie, løntilskud og bonus, adgang til skolepraktik og til skoleundervisning og tilskud til praktikvirksomheder)";"lov"
"I lov nr. 778 af 9. december 1987 om beskyttelse af halvlederprodukters udformning (topografi), som ændret ved § 4 i lov nr. 1430 af 21. december 2005, foretages følgende ændringer:";"778";"1987";"Lov om beskyttelse af halvlederprodukters udformning (topografi)";"lov"
"I lov nr. 17 af 14. januar 1998 om Danmarks Biblioteksskole foretages følgende ændringer:";"17";"1998";"Lov om Danmarks Biblioteksskole";"lov"
"I lov nr. 1507 af 27. december 2009 om friplads og stipendium til visse udenlandske studerende ved erhvervsakademiuddannelser og pro­fes­sions­bache­lor­ud­dan­nel­ser foretages følgende ændring:";"1507";"2009";"Lov om friplads og stipendium til visse udenlandske studerende ved erhvervsakademiuddannelser og pro­fes­sions­bache­lor­ud­dan­nel­ser";"lov"
"I lov nr. 579 af 9. juni 2006 om uddannelsen til professionsbachelor som lærer i folkeskolen, som ændret ved § 70 i lov nr. 562 af 6. juni 2007 og § 10 i lov nr. 140 af 9. februar 2010, foretages følgende ændringer:";"579";"2006";"Lov om uddannelsen til professionsbachelor som lærer i folkeskolen";"lov"
"I lov nr. 315 af 19. april 2006 om uddannelsen til professionsbachelor som pædagog, som ændret ved § 71 i lov nr. 562 af 6. juni 2007 og § 11 i lov nr. 140 af 9. februar 2010, foretages følgende ændringer:";"315";"2006";"Lov om uddannelsen til professionsbachelor som pædagog";"lov"
"I lov nr. 224 af 27. marts 1996 om forskning ved arkiver, biblioteker, museer m.v. foretages følgende ændring:";"224";"1996";"Lov om forskning ved arkiver, biblioteker, museer m.v.";"lov"
"I lov nr. 1434 af 22. december 2004 om fuldbyrdelse af visse strafferetlige afgørelser i Den Europæiske Union, som ændret ved § 1 i lov nr. 347 af 14. maj 2008 og § 1 i lov nr. 271 af 4. april 2011, foretages følgende ændringer:";"1434";"2004";"Lov om fuldbyrdelse af visse strafferetlige afgørelser i Den Europæiske Union";"lov"
"I lov nr. 412 af 29. maj 2009 om ændring af pensionsbeskatningsloven og lov om ændring af forskellige skattelove (Loft for indbetalinger til rateordninger og ophørende livrenter, ophævelse af aldersgrænsen for oprettelse af rate- og kapitalpensionsordninger samt forhøjelse af aldersgrænsen for udbetaling af kapitalpensionsordninger m.v.), som ændret ved § 12 i lov nr. 1278 af 16. december 2009, foretages følgende ændring:";"412";"2009";"Lov om ændring af pensionsbeskatningsloven og lov om ændring af forskellige skattelove (Loft for indbetalinger til rateordninger og ophørende livrenter, ophævelse af aldersgrænsen for oprettelse af rate- og kapitalpensionsordninger samt forhøjelse af aldersgrænsen for udbetaling af kapitalpensionsordninger m.v.)";"lov"
"I lov nr. 471 af 12. juni 2009 om arbejdsmarkedsbidrag (arbejdsmarkeds­bidrags­loven), som ændret ved § 3 i lov nr. 1278 af 16. december 2009, foretages følgende ændringer:";"471";"2009";"Lov om arbejdsmarkedsbidrag (arbejdsmarkeds­bidrags­loven)";"lov"
"I lov nr. 472 af 12. juni 2009 om skattefri kompensation for forhøjede energi- og miljøafgifter, som ændret ved § 14 i lov nr. 1278 af 16. december 2009, § 2 i lov nr. 624 af 11. juni 2010, § 11 i lov nr. 724 af 25. juni 2010 og § 3 i lov nr. 554 af 1. juni 2011, foretages følgende ændringer:";"472";"2009";"Lov om skattefri kompensation for forhøjede energi- og miljøafgifter";"lov"
"I lov nr. 1361 af 8. december 2010 om ændring af lønsumsafgiftsloven, momsloven, registreringsafgiftsloven og forskellige andre love (Fremrykning af forhøjelse af lønsumsafgift for finansielle virksomheder, løn­sums­af­gifts­fri­tagelse for undervisning på pro­fes­sions­høj­skoler, ændring af reglerne om renten af registreringsafgift ved bl.a. forholdsmæssig betaling i forbindelse med leasing) foretages følgende ændring:";"1361";"2010";"Lov om ændring af lønsumsafgiftsloven, momsloven, registreringsafgiftsloven og forskellige andre love (Fremrykning af forhøjelse af lønsumsafgift for finansielle virksomheder, løn­sums­af­gifts­fri­tagelse for undervisning på pro­fes­sions­høj­skoler, ændring af reglerne om renten af registreringsafgift ved bl.a. forholdsmæssig betaling i forbindelse med leasing)";"lov"
"I lov nr. 472 af 17. juni 2008 om afgift af kvælstofoxider, som ændret ved § 7 i lov nr. 527 af 12. juni 2009, § 6 i lov nr. 1384 af 21. december 2009 og § 6 i lov nr. 722 af 25. juni 2010, foretages følgende ændringer:";"472";"2008";"Lov om afgift af kvælstofoxider";"lov"
"I lov nr. 647 af 15. juni 2010 om et testcenter for store vindmøller ved Østerild foretages følgende ændringer:";"647";"2010";"Lov om et testcenter for store vindmøller ved Østerild";"lov"
"I lov nr. 411 af 6. juni 2002 om etablering af Dansk Center for Internationale Studier og Menneskerettigheder, som ændret ved § 2 i lov nr. 1156 af 19. december 2003, foretages følgende ændringer:";"411";"2002";"Lov om etablering af Dansk Center for Internationale Studier og Menneskerettigheder";"lov"
"I lov nr. 383 af 22. maj 1996 om skifte af dødsboer, som ændret bl.a. ved § 2 i lov nr. 1116 af 29. december 1999, § 102 i lov nr. 428 af 6. juni 2005, § 3 i lov nr. 516 af 6. juni 2007, § 2 i lov nr. 521 af 17. juni 2008 og § 27 i lov nr. 521 af 12. juni 2009 og senest ved § 4 i lov nr. 718 af 25. juni 2010, foretages følgende ændringer:";"383";"1996";"Lov om skifte af dødsboer, som ændret bl.a. ved § 2 i lov nr. 1116 af 29. december 1999, § 102 i lov nr. 428 af 6. juni 2005, § 3 i lov nr. 516 af 6. juni 2007, § 2 i lov nr. 521 af 17. juni 2008 og § 27 i lov nr. 521 af 12. juni 2009 og senest ved § 4 i lov nr. 718 af 25. juni 2010,";"lov"
"I lov nr. 444 af 9. juni 2004 om politiets virksomhed, som ændret ved § 19 i lov nr. 538 af 8. juni 2006, § 4 i lov nr. 501 af 12. juni 2009 og § 2 i lov nr. 1107 af 1. december 2009, foretages følgende ændring:";"444";"2004";"Lov om politiets virksomhed";"lov"
"I lov nr. 493 af 12. maj 2010 om ændring af lov om sikkerhed til søs, sømandsloven og forskellige andre love og om ophævelse af lov om forhyring af skibsmandskab. (Gennemførelse af konventionen om søfarendes arbejdsforhold, modernisering af bestemmelser om tilsyn, forbud mod spiritussejlads i grønlandsk farvand m.v.) foretages følgende ændringer:";"493";"2010";"Lov om ændring af lov om sikkerhed til søs, sømandsloven og forskellige andre love og om ophævelse af lov om forhyring af skibsmandskab. (Gennemførelse af konventionen om søfarendes arbejdsforhold, modernisering af bestemmelser om tilsyn, forbud mod spiritussejlads i grønlandsk farvand m.v.)";"lov"
"I lov nr. 1333 af 19. december 2008 om inddrivelse af gæld til det offentlige foretages følgende ændringer:";"1333";"2008";"Lov om inddrivelse af gæld til det offentlige";"lov"
"I lov nr. 85 af 20. februar 2008 om opsigelse af dobbeltbeskatningsoverenskomster mellem Danmark og henholdsvis Frankrig og Spanien, som ændret ved lov nr. 351 af 6. maj 2009, foretages følgende ændring:";"85";"2008";"Lov om opsigelse af dobbeltbeskatningsoverenskomster mellem Danmark og henholdsvis Frankrig og Spanien";"lov"
